Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,math
4,3,2,3,0,5,2,3,4,4,2,5,4,2,2,5,2,2,0,4,3,4,1,3,2,3,5,4,1,2,4,4,2,5,4,2,3,2,4,4,104
4,1,2,2,4,2,2,4,4,3,2,4,4,3,3,3,2,2,3,4,2,5,4,4,1,2,5,2,4,2,4,3,2,3,3,3,1,2,4,3,121
2,1,4,1,5,3,2,3,3,2,1,4,4,3,1,5,3,1,2,2,3,4,2,4,2,5,3,1,2,2,4,4,2,4,3,1,4,1,4,3,119
2,3,1,3,3,5,3,2,1,5,3,3,3,3,5,5,5,3,2,3,1,1,4,3,2,5,3,3,1,2,3,3,4,2,2,3,2,2,2,1,103
1,1,3,1,4,3,5,5,5,2,1,5,5,5,2,5,4,5,1,4,1,2,3,5,1,5,4,3,1,4,4,5,1,4,3,1,2,1,4,5,106
3,3,5,3,3,1,2,3,5,5,1,5,3,3,3,3,3,3,3,5,1,3,5,5,1,5,5,3,1,3,5,5,3,5,0,3,3,3,5,5,135
3,5,3,4,1,2,3,2,2,5,3,3,2,2,4,2,4,5,4,2,2,2,3,3,1,4,1,4,2,3,1,2,3,2,3,4,2,4,2,3,104
3,1,4,2,3,2,3,4,2,3,2,4,3,3,2,3,2,3,2,2,2,4,4,3,1,4,3,4,2,3,3,3,2,4,4,0,1,3,4,4,71
1,3,2,3,3,5,3,5,5,3,2,5,5,3,3,5,3,3,5,4,2,3,2,3,2,5,3,3,3,3,3,5,3,4,3,3,3,1,5,3,107
2,1,3,2,4,5,2,5,4,3,1,5,2,2,1,5,1,2,5,5,1,5,5,5,1,5,5,3,1,2,2,4,5,5,2,1,1,2,5,5,118
5,1,1,5,1,1,1,1,3,1,1,5,5,0,5,1,1,5,1,1,1,1,1,5,1,5,5,1,0,1,5,1,1,1,5,1,0,5,1,1,71
3,1,1,2,4,2,5,4,2,3,2,5,4,3,1,5,3,2,4,4,1,4,3,3,1,4,1,1,1,3,2,3,5,5,3,1,1,1,3,1,129
1,1,4,1,5,5,4,5,5,1,1,5,5,3,1,3,1,1,5,5,1,5,1,5,1,5,5,3,2,1,4,3,3,5,4,1,1,0,5,4,128
0,4,3,5,5,4,1,1,5,1,2,4,3,4,4,2,4,1,2,2,2,3,1,1,5,1,5,2,5,4,2,4,2,2,1,1,5,1,1,2,133
4,4,3,3,2,4,3,4,3,4,3,5,4,3,2,3,2,4,4,4,1,4,4,4,1,4,4,4,3,2,3,3,2,4,3,2,2,3,3,3,106
3,3,4,2,1,5,2,2,1,3,4,2,2,3,4,3,5,4,5,3,2,2,1,4,3,3,1,3,1,3,1,4,3,1,1,5,3,1,1,1,99
2,3,2,4,4,3,3,4,4,4,1,5,4,2,1,5,1,2,4,5,3,5,4,5,2,3,2,3,1,2,3,4,3,4,2,4,2,1,3,3,117
4,4,3,4,3,3,4,3,3,3,5,1,4,3,4,2,4,4,2,3,4,2,2,1,2,2,2,3,4,3,3,1,5,2,3,3,5,4,2,2,115
2,5,2,4,1,4,2,1,1,5,5,5,1,2,4,4,5,1,3,2,1,2,3,5,2,4,1,4,2,2,1,3,3,2,1,4,4,2,2,1,98
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,148
2,1,3,3,3,1,3,4,2,3,5,4,3,3,1,3,2,3,3,3,3,4,4,5,3,3,3,3,3,0,4,4,3,4,4,5,3,1,5,3,108
4,5,3,4,1,2,4,2,1,5,4,3,1,3,4,4,4,5,2,2,2,2,4,4,1,4,1,3,4,2,1,2,2,2,2,5,2,2,2,2,104
3,5,4,5,1,3,1,3,1,5,3,1,1,4,5,1,3,5,3,3,1,3,3,4,0,5,1,3,3,3,1,3,5,3,2,5,2,1,1,3,115
3,2,2,3,3,3,4,5,3,3,1,2,3,1,1,5,2,3,4,3,1,5,4,3,1,2,3,4,2,3,3,2,2,5,3,3,2,2,5,3,131
0,4,2,3,3,2,3,4,2,2,2,4,3,2,2,4,2,3,4,3,0,4,4,4,2,5,2,4,3,2,2,4,2,4,3,2,4,2,4,4,72
3,4,4,2,3,0,0,0,0,0,4,0,0,3,4,3,3,4,0,2,0,0,0,2,0,0,0,0,0,1,1,0,0,2,0,3,0,0,0,0,77
1,1,5,3,2,3,3,3,2,5,2,2,3,1,1,5,1,2,5,1,3,5,3,5,1,5,1,3,5,3,3,3,1,2,4,1,5,3,3,5,117
5,1,5,2,5,1,5,1,5,2,5,5,5,1,5,1,3,1,5,1,3,3,5,5,1,2,5,4,1,4,5,1,3,1,5,1,1,5,1,5,114
3,5,4,3,3,1,3,2,3,5,2,3,3,2,3,2,4,3,2,3,1,2,5,3,2,3,3,2,2,2,3,2,2,1,3,2,2,3,2,4,114
1,3,4,4,2,1,3,2,2,4,1,3,4,1,2,4,2,4,4,2,3,4,5,1,1,4,2,4,1,2,2,1,2,4,3,3,3,1,4,5,127
3,2,2,4,2,4,3,1,1,5,2,1,1,3,5,3,5,5,2,3,1,1,2,5,1,4,1,5,1,1,1,2,2,2,3,2,2,4,2,2,104
5,2,4,3,4,1,5,2,4,3,4,4,2,2,4,2,4,2,4,2,2,2,5,4,1,4,2,4,3,3,3,2,4,2,5,1,2,5,2,5,113
3,5,3,4,4,2,2,3,4,3,1,5,4,5,1,5,2,2,4,3,3,5,4,5,1,5,4,3,3,2,5,5,4,5,3,2,3,2,5,2,110
2,1,4,2,5,1,2,4,5,1,1,4,3,2,1,5,1,1,2,4,1,5,4,4,1,5,4,4,2,2,2,4,2,5,3,1,4,1,5,3,125
1,3,4,3,2,3,3,3,4,5,3,4,3,3,1,4,1,2,3,4,3,5,3,3,1,5,1,3,3,3,5,3,3,4,3,3,4,2,3,3,115
1,3,1,4,3,1,3,4,3,3,1,4,4,1,1,5,1,2,1,3,3,4,4,3,2,5,3,3,2,3,1,1,3,5,3,4,1,1,4,4,133
2,1,4,5,3,2,3,2,3,5,3,5,4,3,3,3,5,2,2,3,2,1,4,5,1,5,2,5,3,3,3,3,3,1,3,4,3,3,3,3,99
3,3,2,2,3,1,3,3,1,3,3,3,3,1,2,3,2,1,5,3,2,3,4,5,2,3,3,3,2,3,2,2,4,5,2,3,3,2,4,3,126
5,3,4,1,3,1,4,3,5,1,4,3,5,1,5,1,3,2,2,3,1,4,5,4,1,3,5,1,1,2,5,1,5,1,5,3,1,4,1,5,121
2,4,2,4,2,2,4,1,2,5,4,1,1,1,2,1,4,4,5,3,2,4,4,3,1,4,1,5,2,2,1,4,2,1,5,4,3,2,2,4,110
4,2,4,4,4,2,2,4,2,4,1,4,4,2,2,4,2,4,4,4,2,4,3,4,2,4,2,3,2,2,2,5,2,4,3,2,3,3,4,4,115
1,1,4,2,5,2,2,5,4,2,1,3,3,3,1,5,1,2,4,3,4,4,5,4,1,5,3,3,2,3,3,4,3,0,2,1,1,1,5,4,148
5,2,4,2,1,1,5,3,5,5,4,5,1,1,4,5,4,1,5,2,3,1,5,5,1,5,1,3,1,4,1,1,5,2,5,1,1,5,1,5,115
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
2,0,1,3,5,5,2,5,3,4,1,5,4,5,1,5,1,4,5,3,2,5,1,4,1,5,4,1,2,4,3,4,2,5,2,3,4,2,5,2,87
4,2,5,2,4,1,4,4,4,4,4,4,2,1,5,3,4,2,5,2,2,2,5,4,2,5,2,3,0,5,2,2,5,1,5,1,5,2,1,5,111
4,2,2,2,3,2,5,2,4,3,4,3,4,3,4,1,4,3,1,2,5,3,2,1,2,2,2,1,4,4,2,2,5,1,3,2,4,2,2,3,121
3,3,2,3,4,1,2,3,3,4,1,4,3,4,2,5,2,3,4,3,3,4,4,4,2,4,4,4,2,3,3,2,3,5,3,2,3,3,4,3,121
3,2,5,2,2,2,2,2,4,4,3,3,4,4,4,3,4,4,3,2,0,3,4,3,3,5,3,2,2,1,4,4,2,2,4,2,2,3,2,4,144
0,3,3,4,4,3,3,4,2,3,2,4,4,2,2,5,2,4,4,3,0,4,3,5,4,5,2,3,3,3,3,4,4,5,4,2,2,3,4,4,106
4,5,3,1,1,4,4,1,1,5,2,5,2,5,5,4,4,5,5,1,1,3,1,4,1,2,1,2,1,2,1,1,5,4,2,5,2,3,1,1,104
3,1,5,2,2,1,5,2,5,4,4,5,3,3,4,2,4,2,5,3,2,4,5,4,1,4,1,3,1,4,3,2,2,2,5,1,4,3,2,5,113
3,5,4,4,1,1,3,2,1,5,5,3,1,2,5,1,5,5,2,1,3,2,5,4,1,4,1,3,3,1,1,3,4,1,2,5,3,3,1,2,97
5,3,5,1,3,1,5,3,4,4,5,5,4,2,4,3,4,2,3,4,0,2,5,4,1,4,1,2,2,3,4,1,2,2,4,2,3,5,1,5,79
2,1,1,1,3,2,1,5,3,1,1,4,4,4,1,5,2,3,4,4,2,5,4,4,1,5,4,5,1,1,3,5,2,5,2,1,3,1,5,3,117
1,2,4,4,4,3,3,5,2,4,2,5,4,3,1,5,2,2,5,4,2,4,3,4,1,5,2,3,3,2,2,3,3,4,4,1,2,1,4,5,119
3,3,4,2,1,2,2,1,3,4,4,5,2,5,5,2,5,3,4,3,1,1,4,4,2,5,2,4,1,2,2,5,1,2,1,4,2,1,1,1,92
5,1,5,1,5,1,5,1,3,2,3,1,3,1,5,1,3,2,5,1,3,3,5,5,1,1,3,5,1,1,5,1,5,1,5,1,3,4,2,5,125
2,1,4,2,2,3,3,1,4,5,5,3,4,4,5,2,5,2,1,3,2,2,3,4,2,4,2,3,2,3,3,3,3,1,4,4,4,2,1,4,98
3,3,2,3,3,1,3,3,4,1,3,3,2,2,4,2,4,5,1,4,3,3,5,3,2,3,3,3,1,2,1,2,2,2,3,3,1,4,1,4,117
3,5,4,5,1,5,3,3,5,5,5,3,1,3,5,3,3,5,1,3,4,3,3,5,1,5,3,5,1,4,1,2,1,1,3,5,3,4,1,1,88
4,3,3,3,2,3,3,1,2,4,3,4,1,3,4,2,4,3,3,1,2,2,3,4,1,4,1,4,2,5,2,3,3,3,4,3,3,3,2,3,104
4,3,5,5,1,3,5,1,1,5,4,4,1,1,1,2,5,5,2,1,0,1,3,5,1,4,1,1,4,2,1,1,4,1,4,4,4,1,1,3,94
3,3,2,4,4,4,4,4,2,2,2,4,2,2,2,5,3,4,2,2,2,4,3,4,2,4,2,4,2,3,1,3,4,4,3,3,3,3,4,4,111
1,4,1,5,4,1,3,4,3,1,5,4,4,3,1,5,1,1,1,3,3,3,4,4,1,5,5,2,3,4,3,3,3,5,5,1,1,1,5,5,123
1,4,5,5,0,4,5,1,2,5,4,5,2,4,5,2,5,5,1,2,2,2,2,4,1,5,1,5,1,4,4,5,5,1,2,5,1,1,1,4,111
4,4,5,4,4,2,5,3,3,5,5,5,2,3,5,3,4,4,1,4,2,2,2,4,1,5,1,5,4,4,2,1,4,2,3,4,3,1,2,4,99
3,2,2,4,4,4,4,4,3,4,4,4,4,1,2,5,2,4,5,4,2,4,3,4,1,4,4,4,2,2,3,4,3,4,3,4,2,3,4,4,111
3,4,4,5,2,3,3,2,2,4,5,4,4,3,4,2,4,5,2,3,1,2,4,3,1,4,2,3,2,1,2,3,3,2,5,4,3,3,2,4,98
2,4,3,3,3,2,3,5,4,3,1,3,4,2,2,4,2,3,4,4,2,4,4,4,1,3,2,3,1,3,2,3,3,4,3,2,2,3,5,3,120
1,5,4,5,1,4,2,3,1,5,3,1,1,1,1,1,4,5,5,3,2,1,5,3,1,4,1,4,1,3,1,2,5,2,1,4,4,1,2,4,110
1,2,1,3,4,2,2,4,2,2,2,5,4,2,2,4,2,4,4,4,2,4,4,5,1,5,2,3,2,2,2,4,3,4,4,2,2,2,4,2,117
2,1,2,1,4,3,1,5,3,3,1,3,2,4,1,4,1,3,4,3,2,5,3,4,2,4,3,3,2,3,3,5,2,5,2,1,2,1,4,2,121
4,2,5,2,4,2,4,2,4,4,4,4,2,1,3,2,3,3,5,4,1,3,4,5,1,5,1,5,3,2,3,1,2,2,4,1,4,5,1,5,111
2,3,2,4,1,5,1,1,2,5,2,4,4,5,5,1,5,2,1,2,2,1,1,3,4,1,1,3,3,1,0,5,1,1,1,5,1,1,1,2,76
3,3,1,3,3,2,2,1,3,2,5,5,3,2,2,5,2,4,5,5,2,3,4,4,1,4,5,5,1,2,3,3,3,4,2,2,4,2,4,3,111
4,2,5,2,4,3,4,2,3,3,1,5,4,4,2,3,2,3,3,4,2,4,2,4,1,3,4,4,2,2,5,4,2,4,2,3,2,4,4,2,108
2,4,3,4,4,4,2,4,4,4,2,5,3,4,3,4,2,3,4,4,2,4,3,4,3,4,2,3,2,4,3,2,3,4,2,4,3,2,4,2,104
3,4,4,3,4,2,3,4,3,4,3,4,4,2,3,3,2,3,4,4,2,4,3,4,1,2,0,4,2,3,2,4,2,4,2,4,4,2,4,2,98
3,4,3,4,3,2,2,3,4,3,5,4,3,3,3,4,3,4,4,4,2,3,5,4,1,2,4,2,1,3,3,3,2,5,3,3,4,1,5,3,113
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
1,1,4,3,4,4,4,5,2,5,4,2,4,2,2,5,3,5,5,3,2,2,5,5,3,3,5,3,1,1,4,3,4,5,3,2,2,1,5,3,115
2,2,1,4,3,2,4,3,4,3,4,4,4,1,4,4,2,4,5,3,2,5,3,3,2,4,2,4,1,3,2,2,3,4,1,3,4,3,3,3,116
1,1,4,3,5,1,1,5,2,5,1,4,3,1,1,5,1,2,5,3,1,5,3,4,1,5,3,5,1,2,1,3,3,5,3,2,3,1,5,3,123
3,2,2,4,4,2,2,5,5,4,4,3,4,3,1,5,2,2,4,3,2,4,4,5,4,4,3,4,1,2,3,4,4,5,2,1,3,3,4,4,117
1,3,2,3,2,3,2,3,1,5,3,1,2,3,2,2,4,5,1,1,3,2,3,3,1,3,4,3,4,1,5,2,1,3,1,3,1,2,1,1,113
3,1,3,2,4,1,3,5,1,3,5,3,3,2,1,5,1,2,4,5,2,4,3,3,1,5,2,2,3,3,3,1,3,5,2,4,2,3,5,3,127
4,3,4,3,2,3,1,3,4,4,3,4,2,3,2,3,4,4,2,2,1,2,3,4,1,5,2,5,1,1,1,3,3,2,2,2,1,5,1,2,103
2,2,4,3,3,1,2,4,5,4,5,5,3,4,2,5,2,1,2,5,2,2,5,3,1,2,4,0,2,2,5,5,4,5,3,2,2,2,5,4,73
3,2,1,2,3,2,4,4,3,2,1,5,4,2,2,4,3,2,2,4,2,5,4,3,1,3,4,4,1,2,3,2,2,5,2,3,3,2,5,3,126
2,5,1,5,2,2,1,2,1,1,5,3,1,2,1,3,4,3,3,3,2,3,5,5,1,2,1,4,1,3,1,2,1,2,1,5,3,1,1,1,110
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
2,1,5,3,4,5,2,1,4,5,4,5,4,5,5,2,5,5,4,3,1,4,2,5,1,5,2,5,1,1,4,5,1,1,1,1,1,1,1,1,82
1,3,4,4,5,4,4,3,4,3,5,5,4,5,1,5,1,4,1,3,4,4,3,5,1,5,4,3,4,3,3,5,1,5,1,4,5,3,5,5,100
4,5,5,5,3,5,3,3,1,5,5,5,2,3,5,1,3,5,2,3,1,5,5,5,2,5,1,3,3,1,1,3,0,4,4,5,4,4,1,4,127
2,3,1,4,3,3,2,2,2,3,2,3,3,3,2,5,2,4,4,4,2,4,2,3,1,3,2,2,2,1,2,4,2,5,3,3,2,2,4,2,118
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,145
5,5,1,5,2,2,3,3,1,1,2,4,1,1,5,2,5,5,1,1,1,3,5,2,1,5,1,2,1,1,1,1,4,3,3,3,4,4,2,2,115
1,5,1,5,1,1,5,5,5,5,5,1,5,1,1,1,1,1,1,5,1,5,5,5,1,5,1,5,1,1,1,1,1,5,1,1,5,1,5,5,124
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
5,4,5,3,4,2,5,1,5,5,5,5,2,1,5,1,4,2,4,5,3,5,3,5,1,1,1,5,1,3,2,1,3,3,5,1,5,5,3,5,109
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
4,1,4,2,5,5,3,4,5,1,2,3,4,3,3,3,2,5,2,3,1,4,2,3,1,3,5,3,1,1,3,3,3,4,1,1,4,3,3,3,116
5,2,4,2,2,1,5,2,4,4,5,4,3,1,5,1,5,2,2,5,5,2,5,5,2,2,2,2,1,2,4,1,1,1,5,1,1,5,5,5,115
2,1,4,2,4,5,2,3,4,3,1,1,2,1,1,5,1,4,4,4,2,4,5,3,1,4,5,4,1,2,4,3,3,5,4,3,4,2,4,4,122
5,3,5,5,3,1,5,2,3,3,5,5,3,1,5,1,4,5,5,4,5,5,5,4,1,5,5,5,1,5,4,1,5,1,5,3,1,5,1,5,103
4,4,5,5,1,5,3,1,1,5,4,1,1,1,5,1,4,5,5,1,3,2,3,4,1,1,1,4,1,3,2,3,4,1,1,3,3,4,1,4,104
2,1,2,1,0,2,3,4,5,1,1,5,5,3,1,4,1,2,4,5,1,5,4,4,2,4,5,3,2,3,5,4,2,0,4,1,2,2,5,4,100
1,5,1,5,1,5,5,1,1,5,1,2,1,5,5,1,5,5,3,1,3,0,1,4,1,5,1,3,2,1,1,0,5,1,1,5,1,1,1,1,90
4,2,1,3,4,2,4,3,4,4,1,5,4,4,1,5,2,4,4,3,2,5,4,4,1,5,2,4,2,2,4,4,2,5,2,2,2,4,4,2,113
2,3,4,0,0,2,3,3,3,3,3,2,3,3,4,2,5,3,3,3,3,2,5,4,2,4,2,4,1,3,3,4,2,4,3,3,3,1,1,3,140
3,2,2,3,2,4,1,4,4,5,1,4,4,4,1,5,1,4,4,4,0,5,1,3,2,4,2,3,3,2,2,5,3,5,3,1,4,2,5,2,87
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124
4,3,4,2,3,2,5,3,4,3,5,4,3,2,5,2,5,2,5,5,1,3,4,3,1,4,3,5,2,2,3,1,3,2,4,2,2,4,1,4,109
5,1,4,1,4,1,5,2,5,2,5,5,5,1,5,1,2,1,1,2,1,3,5,5,1,5,5,4,1,1,4,1,3,1,5,1,1,5,1,5,114
2,3,2,3,4,2,1,4,4,4,1,4,3,2,2,4,2,3,2,3,1,4,5,2,1,4,4,3,4,3,4,5,1,4,3,3,4,2,3,4,119
3,4,2,3,2,1,2,3,4,5,4,5,4,2,2,4,2,2,5,5,2,4,5,5,1,5,2,4,2,2,1,4,4,5,2,2,2,2,4,1,111
4,2,3,4,4,1,5,1,5,1,4,4,4,1,5,3,5,1,1,3,2,4,4,3,1,5,5,3,1,3,4,1,4,1,5,1,3,5,1,5,118
4,3,4,3,4,1,4,3,2,4,4,5,2,1,4,2,4,2,2,4,1,4,4,4,1,4,2,4,1,4,3,2,3,2,5,2,1,4,1,5,111
1,5,5,5,1,1,5,1,4,5,2,1,5,3,5,1,5,1,5,1,5,1,1,2,1,5,1,1,1,1,1,1,1,5,1,5,1,1,4,1,110
0,4,5,1,1,1,5,5,1,1,5,5,2,5,5,5,5,1,0,1,2,2,5,5,1,5,1,3,1,3,1,3,5,5,5,5,5,1,1,5,95
2,1,2,2,4,2,2,5,2,5,1,5,3,3,1,5,2,4,4,3,2,4,3,4,2,5,5,3,2,2,4,3,5,4,3,1,4,1,5,2,117
0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
3,2,3,5,1,2,2,1,1,1,2,5,1,3,4,1,4,5,4,1,2,1,3,5,1,5,1,5,1,2,1,1,4,2,4,3,2,3,2,2,105
2,1,1,1,5,3,4,4,5,1,1,4,5,3,1,3,1,1,3,4,1,4,3,4,2,4,4,3,2,3,5,5,1,5,2,1,2,2,4,2,122
5,1,5,3,3,1,5,1,5,2,5,5,1,3,5,1,5,1,5,5,3,1,5,5,1,5,2,4,4,4,1,1,3,1,3,1,1,5,1,2,102
1,3,3,0,3,2,2,4,3,5,1,4,3,3,1,4,1,3,5,4,1,3,3,4,2,3,3,3,3,2,2,4,3,4,2,3,3,3,4,3,121
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
4,4,4,5,1,1,2,1,1,5,5,4,1,4,4,2,4,5,5,1,2,2,5,4,1,5,1,5,5,4,1,4,4,2,2,4,5,4,1,4,93
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
4,3,5,2,2,3,4,1,4,3,5,3,5,3,5,1,4,2,4,4,2,2,3,5,1,3,4,4,4,3,4,2,3,2,4,2,2,5,2,4,103
3,1,3,1,5,2,4,4,5,2,4,4,4,3,3,5,4,2,4,0,3,5,3,4,2,5,3,4,2,0,4,3,4,5,4,2,3,2,5,0,71
5,3,5,4,2,3,4,3,1,5,5,1,2,3,5,1,5,5,1,3,3,1,1,3,0,3,1,3,1,1,1,3,3,1,3,3,3,4,1,1,86
3,1,1,2,5,4,4,3,3,3,5,3,5,3,4,4,2,3,5,5,2,5,3,5,1,3,5,5,2,2,4,5,4,4,1,2,4,2,4,2,109
1,1,5,5,1,4,5,3,4,5,1,3,4,3,5,5,2,2,1,4,4,4,5,4,1,3,4,4,1,3,2,3,5,5,1,1,2,1,5,2,111
3,2,3,3,4,3,3,3,4,4,3,5,4,2,2,4,2,3,3,3,1,3,4,4,0,3,3,5,2,3,3,3,4,4,2,2,4,4,3,3,133
5,3,5,1,5,5,5,1,4,1,5,5,3,1,4,2,1,1,5,2,2,1,1,1,1,5,1,3,2,2,4,1,2,1,5,1,1,5,1,5,114
4,2,4,2,3,1,5,4,3,4,4,4,2,1,4,2,4,3,4,2,3,3,4,5,2,5,1,4,1,3,1,1,4,2,5,3,4,5,2,5,114
1,4,2,3,3,2,4,4,3,3,2,4,3,4,2,4,3,4,4,4,2,4,4,4,2,4,2,3,2,3,3,4,2,4,2,3,4,2,4,2,112
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
2,3,2,3,2,1,2,4,2,4,2,5,4,1,2,4,2,1,4,4,4,4,4,2,1,5,1,4,2,1,2,4,2,4,2,4,2,1,4,2,121
3,1,4,2,5,2,1,5,2,4,1,5,5,2,1,1,2,4,4,4,0,4,3,4,1,5,4,0,1,4,1,4,5,5,3,2,2,1,4,4,111
1,1,3,1,2,4,5,2,3,3,2,3,1,1,2,4,2,3,5,5,3,4,1,5,2,5,3,1,1,2,2,2,3,5,2,2,4,1,4,3,121
2,3,1,3,3,2,4,4,3,5,1,5,2,2,2,5,1,3,5,3,1,5,4,4,2,5,2,4,2,3,3,2,4,5,3,3,4,2,5,0,128
2,2,3,4,2,3,4,5,5,4,3,2,2,4,4,1,4,1,2,4,5,3,3,2,5,1,1,1,5,4,4,4,2,1,4,2,5,1,1,3,116
1,1,2,2,4,3,3,4,3,3,2,5,4,3,2,2,1,3,2,3,2,4,3,4,1,5,4,3,2,3,4,4,4,4,3,2,2,2,3,4,117
3,1,2,2,3,5,3,5,3,4,1,5,1,3,1,5,3,3,3,5,2,3,3,5,1,5,3,3,1,3,3,2,1,5,3,1,3,4,5,2,117
3,5,5,4,1,5,4,4,2,5,5,3,3,2,4,1,4,2,5,3,3,3,1,3,1,2,2,5,1,3,2,2,5,1,1,4,3,2,1,1,100
2,3,3,5,1,2,3,3,4,5,4,4,2,2,4,2,4,2,2,4,1,2,4,3,3,3,1,3,1,2,4,2,4,2,4,3,4,3,2,3,110
1,2,5,2,4,2,4,3,4,4,5,5,3,3,1,5,1,1,3,4,2,4,3,5,1,4,3,5,3,4,4,4,3,4,3,2,3,2,5,3,111
5,3,2,0,0,0,0,0,0,0,1,5,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,138
3,5,1,3,3,4,4,4,2,4,2,5,3,5,3,3,2,3,4,4,2,4,5,4,2,5,2,3,2,3,3,2,2,3,3,3,4,3,3,4,109
4,5,3,5,1,5,5,2,1,5,4,5,1,3,4,1,5,5,2,1,1,2,1,4,1,3,1,5,1,2,1,4,4,1,1,5,3,3,1,1,87
